hidden_units,learning_rate,batch_size,epochs,loss_train,accuracy_train,mse_train,loss_test,accuracy_test,mse_test,time
30,None,8,60,0.34917473793029785,1.0,0.08925345540046692,0.6007615327835083,0.765625,0.20462580025196075,1.4985129833221436
40,None,8,60,0.3337624967098236,1.0,0.08297203481197357,0.5602266788482666,0.8125,0.1860828995704651,1.5210466384887695
20,None,8,80,0.3241644501686096,1.0,0.07910726964473724,0.6217237710952759,0.75,0.21486705541610718,1.850386381149292
25,None,8,80,0.25699687004089355,1.0,0.05375306308269501,0.5790743827819824,0.765625,0.19484257698059082,1.9700849056243896
30,None,8,80,0.22501733899116516,1.0,0.04314418509602547,0.5730099678039551,0.8125,0.19080662727355957,1.7569620609283447
40,None,8,80,0.13963168859481812,1.0,0.018870066851377487,0.5107733011245728,0.828125,0.16241928935050964,1.9475393295288086
20,None,8,100,0.18443115055561066,1.0,0.030334148555994034,0.5234894156455994,0.828125,0.16838574409484863,2.251699447631836
25,None,8,100,0.14671356976032257,1.0,0.020764146000146866,0.5065489411354065,0.8125,0.16199833154678345,2.145477056503296
30,None,8,100,0.12920431792736053,1.0,0.016324173659086227,0.5123550891876221,0.828125,0.16383735835552216,2.2348849773406982
40,None,8,100,0.07491651177406311,1.0,0.005973971448838711,0.4836295545101166,0.828125,0.15161961317062378,2.248669385910034
20,None,10,60,0.46049124002456665,0.984375,0.13812431693077087,0.6172623634338379,0.71875,0.21271997690200806,1.5162012577056885
25,None,10,60,0.3801361322402954,0.96875,0.10258975625038147,0.5750424265861511,0.78125,0.192740797996521,1.463449478149414
30,None,10,60,0.3844817876815796,1.0,0.10486306995153427,0.6620856523513794,0.625,0.2346341609954834,1.486999273300171
40,None,10,60,0.23262853920459747,1.0,0.04569060727953911,0.5445695519447327,0.828125,0.17814089357852936,1.4921624660491943
20,None,10,80,0.31046807765960693,0.984375,0.07458007335662842,0.5853278040885925,0.75,0.19754627346992493,2.455118417739868
25,None,10,80,0.25421690940856934,1.0,0.05386640504002571,0.6014213562011719,0.8125,0.20486980676651,2.069737672805786
30,None,10,80,0.19243761897087097,1.0,0.03369405120611191,0.5031887292861938,0.828125,0.16010631620883942,1.827003002166748
40,None,10,80,0.15248340368270874,1.0,0.02253277227282524,0.5361490249633789,0.828125,0.17415937781333923,1.8634395599365234
20,None,10,100,0.20640288293361664,1.0,0.03872954845428467,0.5087068676948547,0.8125,0.16190525889396667,2.2444679737091064
25,None,10,100,0.15697115659713745,1.0,0.023336082696914673,0.46430686116218567,0.828125,0.14443227648735046,2.1994543075561523
30,None,10,100,0.12612390518188477,1.0,0.015865730121731758,0.538751482963562,0.828125,0.17383648455142975,2.3584001064300537
40,None,10,100,0.07669331878423691,1.0,0.006447127088904381,0.49617138504981995,0.828125,0.1570367068052292,2.155700445175171
